pCONS,biorep,sample,normalized_freq,log_freq,plant,fluor,tech,ensemb_lab
pCH3,Rep3,TG2,0.6347258287611551,-0.655794543794238,Tobacco,GFP,Tech2,pCH1-5
pCH3,Rep4,TG,1.4477825111961269,0.5338448941440475,Tobacco,GFP,Tech1,pCH1-5
pCH3,Rep4,TG2,0.327493164730456,-1.6104632991147787,Tobacco,GFP,Tech2,pCH1-5
pCH3,Rep5,TG,0.6718538005373587,-0.5737807669234153,Tobacco,GFP,Tech1,pCH1-5
pCH3,Rep5,TG2,0.36011354386684236,-1.4734762345924932,Tobacco,GFP,Tech2,pCH1-5
pCH3,Rep6,TG,0.8922101962800111,-0.1645444593979854,Tobacco,GFP,Tech1,pCH1-5
pCH3,Rep6,TG2,0.649397736103426,-0.6228257397029262,Tobacco,GFP,Tech2,pCH1-5
pCH4,Rep1,TG,0.22959954671961277,-2.122808301070679,Tobacco,GFP,Tech1,pCH1-5
pCH4,Rep1,TG2,0.16759739155100162,-2.576928399464173,Tobacco,GFP,Tech2,pCH1-5
pCH4,Rep2,TG,0.25131330461721135,-1.992441044849929,Tobacco,GFP,Tech1,pCH1-5
pCH4,Rep2,TG2,0.17115861170164579,-2.5465942127254153,Tobacco,GFP,Tech2,pCH1-5
pCH4,Rep3,TG,0.1770671860953872,-2.497631216754215,Tobacco,GFP,Tech1,pCH1-5
pCH4,Rep3,TG2,0.12569636618706767,-2.9919851520475964,Tobacco,GFP,Tech2,pCH1-5
pCH4,Rep4,TG,0.21951926441700348,-2.1875805425557235,Tobacco,GFP,Tech1,pCH1-5
pCH4,Rep4,TG2,0.15746470697852322,-2.6668995854667528,Tobacco,GFP,Tech2,pCH1-5
pCH4,Rep5,TG,0.20844870131160076,-2.2622357110699154,Tobacco,GFP,Tech1,pCH1-5
pCH4,Rep5,TG2,0.15123795822360636,-2.725107817311264,Tobacco,GFP,Tech2,pCH1-5
pCH4,Rep6,TG,0.21571504438120595,-2.2128012985592025,Tobacco,GFP,Tech1,pCH1-5
pCH4,Rep6,TG2,0.1686973342775307,-2.567490918268239,Tobacco,GFP,Tech2,pCH1-5
pCH5,Rep1,TG,0.648003880373456,-0.625925642612678,Tobacco,GFP,Tech1,pCH1-5
pCH5,Rep1,TG2,0.6247341426735957,-0.6786857173452981,Tobacco,GFP,Tech2,pCH1-5
pCH5,Rep2,TG,0.612716706062166,-0.7067079071522365,Tobacco,GFP,Tech1,pCH1-5
pCH5,Rep2,TG2,0.6072164517212632,-0.7197172157032421,Tobacco,GFP,Tech2,pCH1-5
pCH5,Rep3,TG,0.7797325511416766,-0.3589487315624272,Tobacco,GFP,Tech1,pCH1-5
pCH5,Rep3,TG2,0.7015355244613523,-0.5114119337840636,Tobacco,GFP,Tech2,pCH1-5
pCH5,Rep4,TG,0.7106216303392499,-0.49284649190886864,Tobacco,GFP,Tech1,pCH1-5
pCH5,Rep4,TG2,0.6894647546330974,-0.5364512916842964,Tobacco,GFP,Tech2,pCH1-5
pCH5,Rep5,TG,0.7165784991058333,-0.480803338666022,Tobacco,GFP,Tech1,pCH1-5
pCH5,Rep5,TG2,0.6738731268713612,-0.569451100606695,Tobacco,GFP,Tech2,pCH1-5
pCH5,Rep6,TG,0.951361605752616,-0.07193429147894359,Tobacco,GFP,Tech1,pCH1-5
pCH5,Rep6,TG2,0.8812104391949863,-0.1824415089660989,Tobacco,GFP,Tech2,pCH1-5
pCL1,Rep1,TG,0.009812603443263132,-6.671148326975952,Tobacco,GFP,Tech1,pCL1-5
pCL1,Rep1,TG2,0.017727650372038436,-5.817854856089757,Tobacco,GFP,Tech2,pCL1-5
pCL1,Rep2,TG,0.011476854110157827,-6.4451289468590245,Tobacco,GFP,Tech1,pCL1-5
pCL1,Rep2,TG2,0.012264377176027425,-6.3493822186490165,Tobacco,GFP,Tech2,pCL1-5
pCL1,Rep3,TG,0.012529401608660878,-6.31853867510156,Tobacco,GFP,Tech1,pCL1-5
pCL1,Rep3,TG2,0.018557754959298782,-5.751834000052412,Tobacco,GFP,Tech2,pCL1-5
pCL1,Rep4,TG,0.011449729209310151,-6.448542711365611,Tobacco,GFP,Tech1,pCL1-5
pCL1,Rep4,TG2,0.026916938002238423,-5.2153418875619835,Tobacco,GFP,Tech2,pCL1-5
pCL1,Rep5,TG,0.013358806470132701,-6.226065072422277,Tobacco,GFP,Tech1,pCL1-5
pCL1,Rep5,TG2,0.036247173378969745,-4.785987694264857,Tobacco,GFP,Tech2,pCL1-5
pCL1,Rep6,TG,0.012260648178699474,-6.349820938358062,Tobacco,GFP,Tech1,pCL1-5
pCL1,Rep6,TG2,0.04438206400555167,-4.493879427572554,Tobacco,GFP,Tech2,pCL1-5
pCL2,Rep1,TG,0.050088437188137575,-4.319378591077638,Tobacco,GFP,Tech1,pCL1-5
pCL2,Rep1,TG2,0.05223872020659905,-4.258736636960243,Tobacco,GFP,Tech2,pCL1-5
pCL2,Rep2,TG,0.04546898951026965,-4.458973247375182,Tobacco,GFP,Tech1,pCL1-5
pCL2,Rep2,TG2,0.05224687764851867,-4.258511367616538,Tobacco,GFP,Tech2,pCL1-5
pCL2,Rep3,TG,0.07513358381440222,-3.734398270419677,Tobacco,GFP,Tech1,pCL1-5
pCL2,Rep3,TG2,0.06658224608502657,-3.9087186506111693,Tobacco,GFP,Tech2,pCL1-5
pCL2,Rep4,TG,0.04277345244109686,-4.547140531341595,Tobacco,GFP,Tech1,pCL1-5
pCL2,Rep4,TG2,0.054712229567268844,-4.191992841875435,Tobacco,GFP,Tech2,pCL1-5
pCL2,Rep5,TG,0.07845830061514786,-3.6719301023924724,Tobacco,GFP,Tech1,pCL1-5
pCL2,Rep5,TG2,0.07462105914600065,-3.7442733523506866,Tobacco,GFP,Tech2,pCL1-5
pCL2,Rep6,TG,0.0665063734764148,-3.910363585368215,Tobacco,GFP,Tech1,pCL1-5
pCL2,Rep6,TG2,0.06969918308342862,-3.8427144428401805,Tobacco,GFP,Tech2,pCL1-5
pCL3,Rep1,TG,0.10457394666695176,-3.2574046285431715,Tobacco,GFP,Tech1,pCL1-5
pCL3,Rep1,TG2,0.09191442192474956,-3.443564942983992,Tobacco,GFP,Tech2,pCL1-5
pCL3,Rep2,TG,0.14068856269555027,-2.8294230457237197,Tobacco,GFP,Tech1,pCL1-5
pCL3,Rep2,TG2,0.10779912808810191,-3.2135825857028677,Tobacco,GFP,Tech2,pCL1-5
pCL3,Rep3,TG,0.11839531481291905,-3.078316103700114,Tobacco,GFP,Tech1,pCL1-5
pCL3,Rep3,TG2,0.09036152336468166,-3.4681475970854923,Tobacco,GFP,Tech2,pCL1-5
pCL3,Rep4,TG,0.11289574606555289,-3.146936968791983,Tobacco,GFP,Tech1,pCL1-5
pCL3,Rep4,TG2,0.0838481020997314,-3.576078060991587,Tobacco,GFP,Tech2,pCL1-5
pCL3,Rep5,TG,0.11629519601157723,-3.104136592516648,Tobacco,GFP,Tech1,pCL1-5
pCL3,Rep5,TG2,0.11693951486297209,-3.096165583631668,Tobacco,GFP,Tech2,pCL1-5
pCL3,Rep6,TG,0.11935264585883751,-3.0666975458525645,Tobacco,GFP,Tech1,pCL1-5
pCL3,Rep6,TG2,0.11084778209853713,-3.1733481906041328,Tobacco,GFP,Tech2,pCL1-5
pCL4,Rep1,TG,0.04271464348672301,-4.549125448640262,Tobacco,GFP,Tech1,pCL1-5
pCL4,Rep1,TG2,0.03959392346273058,-4.658577154996624,Tobacco,GFP,Tech2,pCL1-5
pCL4,Rep2,TG,0.05322798600590119,-4.231671209914997,Tobacco,GFP,Tech1,pCL1-5
pCL4,Rep2,TG2,0.048235821123557586,-4.373751263993293,Tobacco,GFP,Tech2,pCL1-5
pCL4,Rep3,TG,0.04705662377010623,-4.409458376328082,Tobacco,GFP,Tech1,pCL1-5
pCL4,Rep3,TG2,0.04431695358022651,-4.495997478192629,Tobacco,GFP,Tech2,pCL1-5
pCL4,Rep4,TG,0.03427196761008932,-4.866827168042219,Tobacco,GFP,Tech1,pCL1-5
pCL4,Rep4,TG2,0.03859282832217112,-4.695523412367495,Tobacco,GFP,Tech2,pCL1-5
pCL4,Rep5,TG,0.03894588655001171,-4.682385230352618,Tobacco,GFP,Tech1,pCL1-5
pCL4,Rep5,TG2,0.044162308980031824,-4.501040585888784,Tobacco,GFP,Tech2,pCL1-5
pCL4,Rep6,TG,0.03625418816321081,-4.78570852172923,Tobacco,GFP,Tech1,pCL1-5
pCL4,Rep6,TG2,0.04802558927271632,-4.380052873945141,Tobacco,GFP,Tech2,pCL1-5
pCL5,Rep1,TG,0.10114979991507839,-3.30543462879057,Tobacco,GFP,Tech1,pCL1-5
pCL5,Rep1,TG2,0.08256313247800194,-3.598358481552951,Tobacco,GFP,Tech2,pCL1-5
pCL5,Rep2,TG,0.07167178740301183,-3.8024508558354846,Tobacco,GFP,Tech1,pCL1-5
pCL5,Rep2,TG2,0.06744460690144737,-3.890153104757001,Tobacco,GFP,Tech2,pCL1-5
pCL5,Rep3,TG,0.12039670281955325,-3.0541322118513254,Tobacco,GFP,Tech1,pCL1-5
pCL5,Rep3,TG2,0.08344232266476777,-3.583076873116655,Tobacco,GFP,Tech2,pCL1-5
