pCONS_label,replicate,GFP,mScarlet,log_GFP,log_mScarlet
pCH1,1,395822,85093,5.597499928862483,4.929893835214881
pCH1,2,384124,68758,5.5844714426557855,4.837323235647414
pCH3,1,465508,30499,5.667927148960757,4.48428559995001
pCL1,1,13947,1082,4.144480800902749,3.0342272607705505
pCH3,2,436741,36380,5.640223964163017,4.560862694727465
pCL4,1,31289,5085,4.495391683266939,3.706290957258764
pCL4,3,40393,6690,4.606306109546857,3.8254261177678233
pCH1,1,530362,94367,5.7245723996698725,4.974820148710134
pCH1,2,459472,81785,5.662259050834196,4.912673658016198
pCH1,3,708100,161674,5.850094594386701,5.208640183391692
pCH3,1,424731,30068,5.628113960160936,4.478104541574058
pCL1,1,13111,1337,4.117635817389494,3.126131407261985
pCL1,2,19786,1733,4.296358004741391,3.238798562713917
pCL1,3,16142,1247,4.207957342972937,3.0958664534785427
pCH3,3,475392,34404,5.67705186905163,4.536608938994109
pCL4,1,23379,3676,4.368825930958845,3.565375502714073
pCH1,1,275191,55708,5.439634226386687,4.74591756692192
pCL1,1,17441,1411,4.241571382089168,3.149527013754348
pCL1,2,19849,1522,4.297738631732803,3.182414652434554
pCH3,3,264069,17188,5.421717420823923,4.235225345011866
pCL4,2,28966,4244,4.461888526343973,3.627775375229303
pCL4,3,43375,6348,4.63723948779893,3.802636918082811
pCH1,1,307604,66291,5.487991978615195,4.82145457040094
pCH1,3,443782,94155,5.647169683071274,4.973843387706392
pCH3,1,422108,27646,5.625423583196652,4.4416323036843135
pCL1,2,28024,2191,4.447530124309636,3.3406423775607053
pCL1,3,20068,1727,4.302504092355714,3.237292337567459
pCH3,2,447655,35769,5.650943439628176,4.553506798674196
pCH3,3,304518,18604,5.483612968790339,4.269606330839479
pCL4,2,39681,5967,4.598582608265647,3.775756037844098
pCL4,3,49658,9637,4.695989224150181,3.983941858983888
pCH1,1,408686,89622,5.611389760718968,4.952414631378765
pCH1,2,575012,100999,5.75967690813207,5.00431707381599
pCH1,3,310646,50804,5.492265765838682,4.705897907353572
pCH3,1,483382,31499,5.684290474275559,4.498296766444343
pCL1,1,9400,738,3.9731278535996983,2.868056361823041
pCL1,3,9281,629,3.9675947726718896,2.798650645445269
pCH3,2,398141,28868,5.600036902921713,4.460416696625736
pCH3,3,436316,29573,5.63980113914841,4.470895383280216
pCL4,1,31027,4948,4.491739785689497,3.694429690957083
pCL4,2,26250,4672,4.419129307741976,3.669502834104343
pCL4,3,61210,11302,4.786822379499188,4.05315530296188
pCH1,1,453627,92679,5.656698895977528,4.966981339135796
pCH1,2,469269,74925,5.671421865583435,4.874626751617682
pCH1,3,403758,93222,5.606121140469648,4.9695184161212005
pCH3,1,425805,28831,5.629210756819683,4.459859706104825
pCL1,2,16808,922,4.225516039397896,2.964730921053629
pCL1,3,19819,1623,4.297081737664986,3.210318519826232
pCH3,2,577851,41257,5.761815869181999,4.615497645090984
pCH3,3,391036,25701,5.59221674174789,4.409950021620509
pCL4,1,35108,6497,4.545406089684553,3.8127128667653687
pCL4,2,53079,7390,4.7249227322298335,3.8686444383948255
pCL4,3,38757,6116,4.588350152953818,3.7864674767402815
pCH1,2,402753,68203,5.605038784047415,4.833803478099159
pCH1,3,527222,132511,5.721993524270426,5.122251931412535
pCL1,1,20138,1459,4.304016336520766,3.1640552918934515
pCL1,2,18858,1404,4.275495631401224,3.1473671077937864
pCL1,3,15471,871,4.189518386126378,2.9400181550076634
pCH3,2,314195,21706,5.497199269533721,4.336579798674038
pCH3,3,255633,14519,5.4076169167508885,4.161936705245781
pCL4,1,47206,7291,4.673997202051136,3.862787098235344
pCL4,2,41341,6470,4.616380977594348,3.810904280668701
pCH1,2,429298,74141,5.632758865206699,4.8700584394161375
pCH1,3,555166,114643,5.744422860788779,5.05934754223924
pCL5,1,59356,11632,4.773464626158091,4.065654393514962
35s,1,682071,287541,5.833829584778596,5.458699778779486
35s,3,785615,370608,5.895209766982352,5.568914789830035
pCL5,1,30407,7823,4.48297357411599,3.8933733302460247
pCL5,3,80332,16059,4.904888579588218,4.205718498103094
35s,2,523373,201804,5.718811314304114,5.3049297702294895
pCL5,2,59652,12539,4.775625009186624,4.09826290237993
pCL5,3,82070,15385,4.914184433423246,4.187097500583477
35s,2,466004,137048,5.668389644523631,5.136872702076892
35s,3,590741,285584,5.77139711383363,5.4557338721995166
pCL5,1,31533,5186,4.498765290807105,3.714832512433333
pCL5,2,36236,6352,4.559140250985863,3.80291048941904
35s,1,624100,227382,5.795254182580883,5.356756082119164
pCL5,1,54052,11430,4.732811768093105,4.058046230395282
pCL5,2,86806,20053,4.938549744494861,4.302179353813202
pCL5,3,104129,20283,5.017571697675937,4.30713219065578
35s,1,947313,391306,5.976493497180124,5.592516507105674
35s,2,520480,163325,5.716404045937779,5.21305266686185
35s,3,577510,278008,5.7615595087498415,5.4440572934211895
pCL5,1,19982,3832,4.300638954635399,3.5834255004065065
pCL5,2,56320,11247,4.750662646134056,4.051036695141213
pCL5,3,73075,13048,4.863768824029474,4.11554394803222
35s,1,647793,295808,5.81143625074764,5.471009915126977
35s,2,528575,160247,5.723106618465,5.204789907796838
35s,3,692032,354725,5.840126176974247,5.549891797379303
pCL5,1,17066,3080,4.23213174129662,3.4885507165004443
pCL5,2,92851,19255,4.967786585427907,4.28454352295875
pCL5,3,78124,16314,4.892784471347186,4.212560457971144
35s,1,652738,260028,5.81473889645563,5.415020115627579
35s,2,471109,175318,5.673121401018114,5.243826507647458
35s,3,571548,236994,5.757052709376536,5.374737351073916
pCL5,2,96687,23467,4.98536808517089,4.370457573334345
pCL5,3,114505,21706,5.058824451086377,4.336579798674038
35s,1,754870,254404,5.877872166008192,5.405523935452283
35s,2,469348,156411,5.671494971576937,5.194267292658044
35s,3,572729,235146,5.75794917407039,5.37133759548821
no prom.,3,570,39,2.7558748556724915,1.591064607026499
no prom.,1,540,36,2.7323937598229686,1.5563025007672873
no prom.,2,571,47,2.756636108245848,1.6720978579357175
no prom.,3,620,42,2.792391689498254,1.6232492903979006
no prom.,1,568,36,2.754348335711019,1.5563025007672873
no prom.,3,610,49,2.785329835010767,1.6901960800285136
no prom.,2,568,42,2.754348335711019,1.6232492903979006
no prom.,3,604,36,2.781036938621132,1.5563025007672873
no prom.,1,567,48,2.7535830588929064,1.6812412373755872
no prom.,2,545,37,2.7363965022766426,1.568201724066995
no prom.,1,554,41,2.74350976472843,1.6127838567197357
no prom.,2,538,44,2.7307822756663893,1.6434526764861874
no prom.,3,609,44,2.784617292632875,1.6434526764861874
no prom.,1,540,46,2.7323937598229686,1.662757831681574
no prom.,2,551,43,2.741151598851785,1.6334684555795866
no prom.,3,581,42,2.7641761323903307,1.6232492903979006
no prom.,1,556,45,2.745074791582057,1.6532125137753435
no prom.,2,527,37,2.7218106152125467,1.568201724066995
pCH2,3,989524,202733,5.995426332085784,5.306924447022619
pCM3,2,869007,154393,5.93902327477908,5.188627606036707
pCM4,1,226893,28397,5.355821097435099,4.453272461446163
pCM4,2,346181,52954,5.539303228121713,4.723898771097236
pCM4,3,304923,42836,5.48419018394673,4.631808909894799
pCH2,1,700427,134140,5.845362878880573,5.1275583020046325
pCH2,3,760008,163128,5.880818163777593,5.212528511633868
pCM3,1,677588,112621,5.830965706088987,5.051619379269896
pCM3,2,562919,81165,5.750445907491074,4.909368792988263
pCM4,1,342258,46990,5.534353608201936,4.672005445022952
pCM4,3,283861,37974,5.453105728389642,4.57948634605819
pCM3,1,586787,89946,5.76848048368044,4.9539818545458925
pCM3,2,1005891,150439,6.002550922406537,5.177360437912252
pCM3,3,723972,117598,5.859721769953166,5.070399935716736
pCM4,2,301154,44475,5.478788635948873,4.648115956755962
pCM4,3,430449,69535,5.633921703221396,4.8422034589891885
pCH2,1,861575,202182,5.935293088711968,5.305742488304211
pCM3,2,632372,94332,5.8009726321097865,4.974659042323339
pCM3,3,736335,114960,5.867075444162163,5.060546755126169
pCM4,1,275727,39387,5.440479295583006,4.59535290304669
pCM4,2,387371,64149,5.588127104737764,4.80718989067405
pCM4,3,360175,57482,5.556513564844294,4.759531870350376
pCM3,1,790408,126915,5.897851327250463,5.1035129541061
pCM3,3,786584,135140,5.895745108127144,5.130783914588957
pCM4,2,291185,49499,5.46416899912652,4.694596425219048
pCH2,3,842247,188817,5.925439472742186,5.276041093107287
pCM3,1,818161,141219,5.912838773758695,5.149893131843511
pCM3,2,663281,98294,5.821697556904376,4.992527008712913
pCM3,3,872615,151671,5.940822674111766,5.180902550173959
pCM4,1,227504,34150,5.356989036872937,4.533390708017551
pCM4,2,295752,49272,5.470927690192704,4.692600191082198
pCH2,3,849865,197751,5.929349944053772,5.296118688343589
pCM3,1,884751,160871,5.946821062176166,5.2064777614694
pCM3,3,755080,125259,5.877992967149671,5.097808940207254
pCM4,1,368393,51305,5.566311369379708,4.71015969194601
pCM4,3,294402,39577,5.468940756025561,4.597442870900575
pCH2,3,860830,180898,5.934917393786332,5.257433765346463
pCM3,1,804841,133793,5.905710091991442,5.126433391900419
pCM3,2,602769,93261,5.780150908746887,4.969700067907596
pCM3,3,914456,141096,5.961162813785186,5.149514701900688
pCM4,1,239826,35884,5.379896264019011,4.554900848003664
pCM4,2,463928,73444,5.666450584802711,4.865956321932573
pCM4,3,358878,54214,5.554946835955277,4.734111451439238
pCL3,1,58057,2491,4.763854590622294,3.3963737275365067
pCL3,2,42672,2175,4.630142998345801,3.337459261290656
pCL3,3,15323,570,4.185343801582189,2.7558748556724915
pCL3,1,40241,1979,4.604668764520179,3.296445794206396
pCL3,2,28754,1685,4.458698268402751,3.2265999052073573
pCL3,3,19344,901,4.286546283516697,2.954724790979063
pCL3,1,56159,2176,4.749419365889047,3.3376588910261424
pCL3,3,35938,1678,4.555553904349681,3.224791956492681
pCL3,1,39373,1994,4.595198506835144,3.2997251539756367
pCL3,2,35239,1816,4.547023575658172,3.2591158441850663
pCL3,3,43105,2779,4.634527649429033,3.443888546777372
pCL3,3,57004,3462,4.755905331408927,3.539327063539375
pCL3,1,51715,2266,4.713616529020051,3.355259905527378
pCL3,2,31992,1649,4.505041391125465,3.217220655644519
pCL3,3,49720,2716,4.696531119969607,3.433929765608464
pCL3,1,44621,2340,4.649539299018536,3.369215857410143
pCL3,2,25053,1237,4.398859738404261,3.092369699629121
pCL3,2,28585,1901,4.456138196550292,3.278982116865443
pCM1,1,255126,35794,5.406754720001954,4.553810233759065
pCM1,2,214493,22937,5.3314131235091855,4.360536614583294
pCM1,3,247073,31193,5.392825288535666,4.494057145221748
pNOS,1,265747,68319,5.424468370501827,4.834541500865077
pCM1,2,224851,23848,5.35189482338502,4.377451963024575
pCM1,3,183081,22530,5.262643275905665,4.352761191723831
pNOS,1,308709,65069,5.48954929094423,4.813374132416673
pNOS,2,236025,43132,5.372958006304921,4.634799596537456
pNOS,3,360526,60740,5.556936590135504,4.783474787582247
pCM1,2,224982,25731,5.352147773162994,4.410456664797314
pCM1,3,286813,41567,5.457598832143295,4.6187486814592855
pNOS,1,332134,65259,5.521313335871113,4.814640414566638
pNOS,3,337936,63592,5.5288344592165934,4.80340248397567
pCM1,1,273031,37155,5.436211959731623,4.570017265641519
pCM1,2,262406,30252,5.418973761104158,4.480754091724071
pCM1,3,320977,54148,5.506473913616853,4.733582420241032
pNOS,1,250314,54265,5.398485140270283,4.734519807346076
pNOS,2,246720,55774,5.392204356370863,4.746431792342245
pNOS,3,420663,88097,5.623934314720845,4.944961119471875
pCM1,1,229896,35049,5.361531414970713,4.544675631413166
pCM1,2,209520,22055,5.321225485417176,4.343507062114426
pCM1,3,261274,35302,5.417096194195979,4.547799310610452
pNOS,1,270392,64021,5.431993838130353,4.806322453486496
pNOS,2,217695,42581,5.337848454317409,4.62921585647718
pNOS,3,452507,90794,5.655625301856933,4.958057149699622
pCM1,1,222783,31577,5.347882047866708,4.499370867111967
pNOS,2,272536,57497,5.435423877506955,4.759645185255976
pCM1,1,203711,30625,5.309014480695391,4.486076097372589
pCM1,3,254877,31990,5.406330646674596,4.505014240084107
pNOS,1,206429,48028,5.314770708726817,4.681494501961706
pNOS,2,187491,41342,5.272980425428283,4.616391482643317
pNOS,3,311310,57496,5.493193071453686,4.759637631848691
pCM1,1,208793,33529,5.319715934405257,4.525420600820462
pCM1,2,215013,27818,5.3324647187880885,4.444325902788053
pNOS,2,206628,37589,5.315189172079746,4.575060772102248
pNOS,3,336675,62254,5.527210868793353,4.794167261343952
