pCONS_label,rep,GFP,log_GFP
pCM1,1,42414,4.627509232044942
pCM1,2,65625,4.817069316414013
pCM1,3,71079,4.851741309151034
pCL4,1,22069,4.343782654669529
pCM1,1,56093,4.748908667832734
pCM1,3,65176,4.814087703302587
pCL4,2,36710,4.564784384503986
pCL4,3,46594,4.668329995345386
pCL4,1,37478,4.5737764068651705
pCM1,3,72419,4.859852523553619
pCL4,2,38715,4.58787926359955
pCL5,2,54069,4.732948337422897
pCL5,3,59202,4.772336378585961
pCL3,2,25736,4.410541047893913
pCL3,3,28637,4.4569275195126306
no prom.,1,799,2.902546779313991
no prom.,1,784,2.8943160626844384
pCL5,1,67938,4.832112757698144
pCL5,3,60699,4.7831815362472625
pCL3,2,33312,4.522600707830442
pCL3,3,38221,4.582302045586616
no prom.,1,737,2.8674674878590514
no prom.,1,774,2.8887409606828927
pCL5,1,84100,4.924795995797912
pCL5,3,40607,4.608600905481854
pCL3,1,50479,4.703110742852885
pCL3,3,26358,4.420912453648964
pCL5,2,109621,5.039893759536045
pCL5,3,62946,4.798968137412551
pCL3,1,49284,4.692705948901278
pCL3,2,38694,4.587643627320985
pCL3,3,29183,4.4651299351405545
pCL5,1,78679,4.895858831455207
empty,1,488,2.6884198220027105
pCL5,2,67580,4.829818187438877
pCL3,1,55408,4.7435724742053855
pCL3,2,47371,4.675512552764644
no prom.,1,742,2.870403905279027
pCL5,1,61032,4.785557601887315
pCL5,2,119510,5.077404246398098
pCL5,3,41088,4.61371500205274
pCL3,1,50737,4.705324784486743
no prom.,1,789,2.89707700320942
pCL5,1,60296,4.780288502263733
pCL5,2,93529,4.9709462909496835
pCL3,1,47638,4.677953520082011
pCL3,2,32915,4.517393859428098
pCL3,3,23506,4.371178731816287
pCL5,1,73621,4.8670017122078
pCL5,2,83577,4.922086778068328
pCL5,3,52510,4.720242018287057
pCL3,1,56705,4.75362135477776
pCL3,2,32707,4.514640710948694
pCL3,3,32726,4.5148929260508
