pCONS_label,replicate,GFP,mScarlet,log_GFP,log_mScarlet,exp
pCH4,1,545607,155071,5.736879933572674,5.190530587513403,hi
pCH4,2,418396,130538,5.621587523884477,5.1157369544943405,hi
pCH4,3,638904,173112,5.805435607137445,5.238327173901673,hi
no prom.,2,624,34,2.795184589682424,1.5314789170422551,hi
pCH4,1,425425,128932,5.62882300752963,5.110360719515215,hi
pCH4,2,429676,135603,5.633141096391244,5.132269297709757,hi
no prom.,2,579,31,2.762678563727436,1.4913616938342726,hi
no prom.,3,639,34,2.8055008581584,1.5314789170422551,hi
pCM3,1,717788,163161,5.855996193510531,5.212616358407444,hi
pCM3,2,611145,157770,5.786144262990258,5.19802442553312,hi
pCM3,3,621287,124298,5.793292266397065,5.094464140741792,hi
pCM3,2,904385,216464,5.95635335058702,5.335385679435957,hi
pCM3,3,671299,134929,5.826916000238986,5.130105301683909,hi
pCM3,2,575755,149753,5.7602377181742295,5.175375531364489,hi
pCM3,3,542980,135122,5.734783833180738,5.130726064793677,hi
pCM3,1,528528,156241,5.723068000013131,5.193795009933485,hi
pCM3,1,637102,152079,5.804208968427828,5.182069248150458,hi
pCM3,2,786037,192453,5.895442989446062,5.284324685361973,hi
pCM3,3,663040,137870,5.821539729393101,5.13946977558943,hi
pCM3,1,723040,144630,5.859162323987126,5.16025838620267,hi
pCM3,2,782518,210995,5.893494336264191,5.324272163837322,hi
pCM3,3,542444,143689,5.734354909808449,5.157423522329387,hi
pCM3,1,761521,166203,5.881681884111153,5.220638858627917,hi
pCM3,2,852861,178467,5.930878255256569,5.251557923289407,hi
pCM3,1,701759,138262,5.846187991132302,5.14070283478771,hi
pCM3,3,580559,134557,5.763846362011518,5.128906295799484,hi
pCM4,2,221347,145719,5.345073640196616,5.1635161822242015,hi
pCH3,1,537088,241870,5.730045449169388,5.383582004606485,hi
pCH3,2,199438,125249,5.299807910334671,5.097774267104428,hi
pCH3,3,442941,189122,5.646345881796703,5.276742051969621,hi
pCM4,2,216959,128985,5.336377670456315,5.110539208004651,hi
pCH3,1,405049,124348,5.607507564306971,5.094638804515896,hi
pCH3,2,279840,127812,5.446909792134601,5.106571630732594,hi
pCM4,1,289435,161182,5.461551047127798,5.207316540340309,hi
pCM4,2,286785,176504,5.45755643225521,5.246754551980176,hi
pCM4,3,278248,138250,5.444432051382001,5.140665139976736,hi
pCH3,1,359843,153064,5.55611305880636,5.184873058498391,hi
pCH3,2,288123,145997,5.459577928097789,5.164343931833535,hi
pCH3,3,420289,180028,5.623548023596166,5.255340056768831,hi
pCM4,1,238821,127893,5.378072512503941,5.106846774779139,hi
pCM4,2,272500,207789,5.435366506612661,5.3176225530106285,hi
pCM4,3,244476,146893,5.388236231234033,5.167001100529485,hi
pCH3,1,342562,163400,5.534739185524943,5.213252052196396,hi
pCH3,2,307198,126026,5.487418383912237,5.100460152194369,hi
pCM4,1,169170,130475,5.228323349308016,5.115527305527498,hi
pCM4,3,304747,175212,5.483939439016068,5.243563847010794,hi
pCH3,1,429005,140531,5.632462353862476,5.147772136653207,hi
pCH3,2,247904,107205,5.39428353428663,5.030215041156849,hi
pCH3,3,374557,134011,5.573517917901397,5.127140447941158,hi
pCM4,1,231259,130290,5.3640986433538975,5.114911084081892,hi
pCM4,2,291529,139153,5.464681762915034,5.143492573727203,hi
pCM4,3,260560,136584,5.415907745556817,5.135399827319931,hi
pCH3,3,373308,110324,5.572067296967899,5.042669999600308,hi
pCM4,1,203107,113608,5.307724891445109,5.055408914416589,hi
pCM4,3,234363,148887,5.369889048625063,5.17285677918442,hi
pCH3,3,424594,211837,5.627973852794411,5.326001817397676,hi
pCM4,1,178913,122296,5.252641897991319,5.0874122525691,hi
pCM4,2,219515,151794,5.341464202002515,5.181254605430409,hi
pCM4,3,234209,147226,5.369603579785178,5.167984512850813,hi
pCH3,1,370412,140248,5.568685047797598,5.146896676736349,hi
pCH3,2,193286,102364,5.286200398555518,5.010147248141154,hi
pCH3,3,337795,186515,5.528653216909116,5.270713764591188,hi
pCL3,1,18063,58649,4.25678988192681,4.768260611537919,hi
pCL3,3,9500,22965,3.977723605288848,4.361066449753943,hi
pCL1,2,40467,182328,4.607101009389372,5.260853368115891,hi
pCL1,3,26885,123175,4.429510040813138,5.090522570946947,hi
pCM1,1,90239,62632,4.955394273952119,4.7967962800566575,hi
pCM1,2,77820,111860,4.891091226467724,5.048674814992229,hi
pCM1,3,153653,167121,5.186541044063445,5.223031025662909,hi
pCL1,1,33697,160481,4.527591237920567,5.205423621889758,hi
pCL3,1,22714,67825,4.356293621448165,4.831389802433634,hi
pCL3,2,13182,29807,4.119981307304154,4.474318267578774,hi
pCL1,2,32852,158117,4.516561814155277,5.198978565753113,hi
pCL1,3,25431,123395,4.405363437876972,5.091297562319562,hi
pCM1,1,106807,105039,5.028599716753869,5.0213505784988905,hi
pCM1,2,93753,104670,4.971985173600824,5.019822224167774,hi
pCM1,3,197372,251611,5.295285541910094,5.40072962379578,hi
pCL1,1,35923,171782,4.555372598291509,5.234977654779136,hi
pCL3,1,23014,74949,4.361992108757813,4.87476584268958,hi
pCL3,2,18312,44572,4.262735779666486,4.649062121846468,hi
pCL3,3,26212,94232,4.418500159284101,4.974198408774393,hi
pCL1,2,28801,150509,4.459407567166948,5.177562470251934,hi
pCL1,3,28091,143702,4.448567199748096,5.157462812552593,hi
pCM1,1,96554,96473,4.984770270263975,4.984405783895757,hi
pCL1,1,31254,159697,4.4949056078163405,5.203296757743472,hi
pCL3,1,25549,89937,4.407373906311004,4.953938396850164,hi
pCL3,2,17359,45344,4.239524703156667,4.656519828567366,hi
pCL3,3,9857,23404,3.993744756554462,4.369290089438681,hi
pCL1,2,32537,163114,4.512377507312931,5.2124912379367325,hi
pCL1,3,30662,148951,4.486600479306201,5.1730434232477664,hi
pCM1,3,125295,134951,5.09793374046154,5.130176107068696,hi
pCL3,1,47012,193921,4.672208727480268,5.287624842035296,hi
pCL3,2,20814,61273,4.318355550225704,4.787269144434285,hi
pCL3,3,40976,162325,4.612529561124354,5.210385411544793,hi
pCM1,1,151354,106324,5.179993903026138,5.026631306772619,hi
pCM1,2,98769,103726,4.994620656718078,5.015887630460648,hi
pCM1,3,161240,190149,5.207472789481014,5.279094045784289,hi
pCL1,1,30999,155707,4.491347684108892,5.192308137250442,hi
pCL1,2,41210,193394,4.615002614524588,5.286442996079389,hi
pCL1,3,24079,119915,4.381638446726157,5.0788735117875214,hi
pCM1,1,153708,142915,5.186696471699089,5.155077813642952,hi
pCM1,2,83088,116504,4.919538305250981,5.066340836504574,hi
pCM1,3,96775,88930,4.985763179990992,4.949048292315664,hi
pCL1,1,33046,181430,4.519118898524826,5.258709100569827,hi
pCL3,2,19811,65423,4.296906397977758,4.81573045500714,hi
pCL3,3,23887,65190,4.378161609554913,4.814180981040187,hi
pCM1,2,140174,138570,5.146667466528827,5.141669216966209,hi
pCM1,3,119718,131160,5.078159452937457,5.117801407997328,hi
pCL1,1,31396,149573,4.496874320411263,5.17485320442887,hi
pCL3,1,45205,125471,4.655186473579409,5.0985433593202805,hi
pCL3,2,38085,153947,4.580753959929403,5.187371230126905,hi
pCL3,3,31930,107885,4.504198918539445,5.032961065905526,hi
pCL1,2,30745,166526,4.487774497380667,5.221482050304743,hi
pCL1,3,25483,122997,4.4062505542265535,5.089894518761879,hi
pCM1,1,154794,142187,5.1897541229011885,5.152859891145134,hi
pCM1,2,73598,93855,4.866866012696663,4.972457414033203,hi
pNOS,1,335737,148290,5.525999205443303,5.171111865180439,hi
pNOS,2,308146,165097,5.488756534587536,5.217739181710503,hi
pNOS,3,267827,124450,5.427854356693679,5.094994900944612,hi
pNOS,2,313831,182713,5.496695840665762,5.261769448433053,hi
pNOS,3,273605,120219,5.437124029643722,5.079973111119803,hi
pNOS,1,479500,194198,5.680788611506682,5.288244752897236,hi
pNOS,2,316178,187251,5.499931647977596,5.272424145694988,hi
