condition,replicate,GFP,log_GFP
pCH4-Gal4:VP16+Reporter,3,65016,4.813020246744774
pCL1-Gal4:VP16+Reporter,1,3357,3.5259513412480126
pCL1-Gal4:VP16+Reporter,3,2343,3.369772288596963
pCL3-Gal4:VP16+Reporter,1,13560,4.132259689531044
pCL3-Gal4:VP16+Reporter,2,7596,3.88058495606498
pCL3-Gal4:VP16+Reporter,3,7036,3.8473258307854237
pCH5-Gal4:VP16+Reporter,2,78812,4.896592348669833
pCH5-Gal4:VP16+Reporter,3,45390,4.656960182742849
pCH4-Gal4:VP16+Reporter,1,60314,4.780418131659841
pCH4-Gal4:VP16+Reporter,3,94363,4.974801739576156
pCL1-Gal4:VP16+Reporter,2,13384,4.126585927954338
pCL1-Gal4:VP16+Reporter,3,2608,3.4163075870598827
pCH5-Gal4:VP16+Reporter,1,92321,4.965300500015835
pCL3-Gal4:VP16+Reporter,1,5164,3.712986233594383
pCL3-Gal4:VP16+Reporter,2,5885,3.7697464671794534
pCL3-Gal4:VP16+Reporter,3,7266,3.861295393526696
pCH5-Gal4:VP16+Reporter,2,62880,4.798512533031351
pCH5-Gal4:VP16+Reporter,3,31315,4.495752416037327
pCH4-Gal4:VP16+Reporter,1,94433,4.975123786813664
pCL1-Gal4:VP16+Reporter,1,8417,3.9251573271758984
pCL1-Gal4:VP16+Reporter,3,2390,3.3783979009481375
pCH1-Gal4:VP16+none,1,1189,3.0751818546186915
pCH1-Gal4:VP16+none,2,879,2.9439888750737717
pCH1-Gal4:VP16+none,3,881,2.944975908412048
pCH1-Gal4:VP16+none,1,966,2.9849771264154934
pCH1-Gal4:VP16+none,2,867,2.9380190974762104
pCH1-Gal4:VP16+none,3,989,2.9951962915971793
pCH1-Gal4:VP16+none,1,1210,3.0827853703164503
pCH1-Gal4:VP16+none,2,902,2.9552065375419416
pCH1-Gal4:VP16+none,3,822,2.9148718175400505
pCH1-Gal4:VP16+none,1,912,2.959994838328416
pCH1-Gal4:VP16+none,3,818,2.912753303671323
pCH1-Gal4:VP16+none,1,1255,3.098643725817057
pCH1-Gal4:VP16+none,2,992,2.9965116721541785
pCH1-Gal4:VP16+none,2,944,2.974971994298069
pCH1-Gal4:VP16+none,3,883,2.9459607035775686
pCH1-Gal4:VP16+none,1,1111,3.0457140589408676
pCH1-Gal4:VP16+none,2,880,2.9444826721501687
pCH1-Gal4:VP16+none,3,780,2.8920946026904804
